"r_inner,","r_outer,","mass,","density,","l_z,","v_r,","u,","p,","T,","xn_n,","xn_p,","xn_he4,","xn_b11,","xn_c12,","xn_c13,","xn_n13,","xn_n14,","xn_n15,","xn_o15,","xn_o16,","xn_o17,","xn_f18,","xn_ne19,","xn_ne20,","xn_ne21,","xn_ne22,","xn_na22,","xn_na23,","xn_mg23,","xn_mg24,","xn_mg25,","xn_mg26,","xn_al25,","xn_al26,","xn_al27,","xn_si28,","xn_si29,","xn_si30,","xn_p29,","xn_p30,","xn_p31,","xn_s31,","xn_s32,","xn_s33,","xn_cl33,","xn_cl34,","xn_cl35,","xn_ar36,","xn_ar37,","xn_ar38,","xn_ar39,","xn_k39,","xn_ca40,","xn_sc43,","xn_ti44,","xn_v47,","xn_cr48,","xn_mn51,","xn_fe52,","xn_fe54,","xn_co55,","xn_ni56,","xn_ni58,",xn_ni59
0.0,4.2458782E7,1.3790654E30,4301239.9,-8.1387581E13,-98510.425,9.9909883E16,2.445863E23,1.3917135E8,1.0E-30,1.0E-30,1.8772115E-24,1.1E-29,0.5,1.5355608E-23,8.9212711E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.8131417E-23,1.8E-29,1.9E-29,2.0000006E-29,2.1E-29,2.2000761E-29,2.2E-29,1.8720712E-28,2.3E-29,2.4E-29,2.9772822E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4996411E-28,4.6228551E-29,2.9E-29,3.0E-29,8.9983883E-28,3.1E-29,3.2E-29,9.8005307E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
4.2458782E7,5.3598152E7,1.3791773E30,4252160.7,-1.9346661E14,-164795.45,9.9400538E16,2.4134942E23,1.3757502E8,1.0E-30,1.0E-30,3.5187693E-20,1.1E-29,0.5,1.5409834E-23,8.1110258E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.8059814E-23,1.8E-29,1.9E-29,2.0000083E-29,2.1E-29,2.2000752E-29,2.2E-29,1.8686959E-28,2.3E-29,2.4E-29,2.9724729E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.493232E-28,4.6194256E-29,2.9E-29,3.0E-29,8.9905145E-28,3.1E-29,3.2E-29,9.7919018E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
5.3598152E7,6.1414538E7,1.3791424E30,4239294.9,-2.7589395E14,-186609.74,9.901372E16,2.3894372E23,1.3593659E8,1.0E-30,1.0E-30,6.2796583E-17,1.1E-29,0.5,1.5465617E-23,7.402928E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7986286E-23,1.8E-29,1.9E-29,2.0233686E-29,2.1E-29,2.2000746E-29,2.2E-29,1.8662631E-28,2.3E-29,2.4E-29,2.9690034E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4886052E-28,4.6169558E-29,2.9E-29,3.0E-29,8.9848254E-28,3.1E-29,3.2E-29,9.7856658E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
6.1414538E7,6.7669185E7,1.3791925E30,4209102.6,-3.4894729E14,-205877.64,9.868015E16,2.3682447E23,1.3521125E8,1.0E-30,1.0E-30,9.283777E-15,1.1E-29,0.5,1.5493694E-23,6.9781912E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7949205E-23,1.8E-29,1.9E-29,5.8064206E-29,2.1E-29,2.200074E-29,2.2E-29,1.8639655E-28,2.3E-29,2.4E-29,2.9657272E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4842331E-28,4.6146211E-29,2.9E-29,3.0E-29,8.9794499E-28,3.1E-29,3.2E-29,9.7797739E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
6.7669185E7,7.2953329E7,1.3792567E30,4199585.7,-4.1116032E14,-217539.08,9.838174E16,2.3492369E23,1.3477394E8,1.0E-30,1.0E-30,1.6369786E-14,1.1E-29,0.5,1.5507995E-23,6.7691325E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7930339E-23,1.8E-29,1.9E-29,9.9101652E-29,2.1E-29,2.2000736E-29,2.2E-29,1.8624915E-28,2.3E-29,2.4E-29,2.9636252E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4814269E-28,4.6131228E-29,2.9E-29,3.0E-29,8.9759995E-28,3.1E-29,3.2E-29,9.775992E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
7.2953329E7,7.7626853E7,1.3791587E30,4141378.2,-4.7069974E14,-239535.29,9.8109666E16,2.3317671E23,1.3462735E8,1.0E-30,1.0E-30,3.1537368E-13,1.1E-29,0.5,1.5512061E-23,6.6926119E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7924972E-23,1.8E-29,1.9E-29,1.2377737E-27,2.1E-29,2.2000733E-29,2.2E-29,1.8614073E-28,2.3E-29,2.4E-29,2.9620793E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4793624E-28,4.6120203E-29,2.9E-29,3.0E-29,8.9734613E-28,3.1E-29,3.2E-29,9.7732101E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
7.7626853E7,8.180053E7,1.3790989E30,4137153.1,-5.2380749E14,-244343.34,9.7861876E16,2.3160438E23,1.3436929E8,1.0E-30,1.0E-30,7.8595533E-12,1.1E-29,0.5,1.5517114E-23,6.6204804E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.791831E-23,1.8E-29,1.9E-29,3.523211E-26,2.1E-29,2.2000731E-29,2.2E-29,1.8606194E-28,2.3E-29,2.4E-29,2.9609558E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4778624E-28,4.6112191E-29,2.9E-29,3.0E-29,8.9716172E-28,3.1E-29,3.2E-29,9.7711888E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
8.180053E7,8.5599898E7,1.3792174E30,4122720.2,-5.7709392E14,-274468.0,9.760855E16,2.3000654E23,1.3407741E8,1.0E-30,1.0E-30,4.219198E-11,1.1E-29,0.5,1.5523474E-23,6.5046659E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7909899E-23,1.8E-29,1.9E-29,2.2654936E-25,2.1E-29,2.2000728E-29,2.2E-29,1.8596732E-28,2.3E-29,2.4E-29,2.9596079E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4760649E-28,4.6102569E-29,2.9E-29,3.0E-29,8.9694093E-28,3.1E-29,3.2E-29,9.7687693E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
8.5599898E7,8.9098192E7,1.3791957E30,4111358.3,-6.2840765E14,-280688.44,9.7371556E16,2.2850647E23,1.339683E8,1.0E-30,1.0E-30,1.0256708E-10,1.1E-29,0.5,1.5523788E-23,6.4663037E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7909451E-23,1.8E-29,1.9E-29,6.6777421E-25,2.1E-29,2.2000726E-29,2.2E-29,1.8588942E-28,2.3E-29,2.4E-29,2.9584977E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4745828E-28,4.6094644E-29,2.9E-29,3.0E-29,8.9675879E-28,3.1E-29,3.2E-29,9.7667731E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
8.9098192E7,9.2357911E7,1.3791875E30,4089812.3,-6.7845467E14,-304107.85,9.7143387E16,2.2706174E23,1.3391125E8,1.0E-30,1.0E-30,2.1112443E-10,1.1E-29,0.5,1.5524005E-23,6.4388087E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7909134E-23,1.8E-29,1.9E-29,1.4365096E-24,2.1E-29,2.2000724E-29,2.2E-29,1.8580391E-28,2.3E-29,2.4E-29,2.9572794E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4729568E-28,4.6085945E-29,2.9E-29,3.0E-29,8.9655902E-28,3.1E-29,3.2E-29,9.7645838E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
9.2357911E7,9.5420952E7,1.3791153E30,4064115.3,-7.1933227E14,-311111.45,9.6936535E16,2.2576486E23,1.3377863E8,1.0E-30,1.0E-30,3.1883472E-10,1.1E-29,0.5,1.5523971E-23,6.4550937E-26,1.4E-29,2.3420138E-29,1.5E-29,0.5,2.7909187E-23,1.8E-29,1.9E-29,2.5479058E-24,2.1E-29,2.2000723E-29,2.2E-29,1.8575896E-28,2.3E-29,2.4E-29,2.956639E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4721023E-28,4.6081371E-29,2.9E-29,3.0E-29,8.9645405E-28,3.1E-29,3.2E-29,9.7634335E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
