"r_inner,","r_outer,","mass,","density,","l_z,","v_r,","u,","p,","T,","xn_n,","xn_p,","xn_he4,","xn_b11,","xn_c12,","xn_c13,","xn_n13,","xn_n14,","xn_n15,","xn_o15,","xn_o16,","xn_o17,","xn_f18,","xn_ne19,","xn_ne20,","xn_ne21,","xn_ne22,","xn_na22,","xn_na23,","xn_mg23,","xn_mg24,","xn_mg25,","xn_mg26,","xn_al25,","xn_al26,","xn_al27,","xn_si28,","xn_si29,","xn_si30,","xn_p29,","xn_p30,","xn_p31,","xn_s31,","xn_s32,","xn_s33,","xn_cl33,","xn_cl34,","xn_cl35,","xn_ar36,","xn_ar37,","xn_ar38,","xn_ar39,","xn_k39,","xn_ca40,","xn_sc43,","xn_ti44,","xn_v47,","xn_cr48,","xn_mn51,","xn_fe52,","xn_fe54,","xn_co55,","xn_ni56,","xn_ni58,",xn_ni59
0.0,4.916621E7,1.3126576E30,2636711.6,-7.6228856E13,219729.65,7.5798027E16,1.1798977E23,1.2620204E8,1.0E-30,1.0E-30,7.3266125E-8,1.1E-29,0.49999996,3.0046883E-23,1.5564435E-25,1.4000052E-29,3.6987901E-29,1.5E-29,0.49999996,5.3541592E-23,1.8E-29,1.9E-29,1.2282758E-17,2.1000016E-29,2.2001436E-29,2.2E-29,5.9905214E-28,2.3E-29,7.1443641E-27,7.0739884E-28,2.6000002E-29,2.5E-29,2.6000001E-29,2.7000005E-29,2.8003823E-29,1.3496133E-27,7.0255728E-29,2.9E-29,3.0E-29,2.2508815E-27,3.1E-29,3.2000289E-29,2.4524232E-27,3.3E-29,3.4E-29,3.5E-29,3.6000003E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0000002E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
4.916621E7,6.1942604E7,1.3126862E30,2637520.0,-1.3420585E14,286268.27,7.5394349E16,1.1644661E23,1.2228322E8,1.0E-30,1.0E-30,6.9450163E-8,1.1E-29,0.49999997,3.0324204E-23,1.4152117E-25,1.4000048E-29,3.6987884E-29,1.5E-29,0.49999997,5.3564604E-23,1.8E-29,1.9E-29,6.8418677E-18,2.100001E-29,2.2001457E-29,2.2E-29,7.5862219E-28,2.3E-29,4.0978104E-27,7.0849073E-28,2.6000001E-29,2.5E-29,2.6E-29,2.7000003E-29,2.8001969E-29,1.3510693E-27,7.0333638E-29,2.9E-29,3.0E-29,2.2526698E-27,3.1E-29,3.2000146E-29,2.4543809E-27,3.3E-29,3.4E-29,3.5E-29,3.6000001E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0000001E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
6.1942604E7,7.1012044E7,1.3128208E30,2602525.1,-1.8173154E14,385879.39,7.5135718E16,1.1529607E23,1.2247483E8,1.0E-30,1.0E-30,8.0559008E-8,1.1E-29,0.49999996,3.0289793E-23,1.4022988E-25,1.4000055E-29,3.6987894E-29,1.5E-29,0.49999996,5.3532164E-23,1.8E-29,1.9E-29,6.0581276E-18,2.1000009E-29,2.2001451E-29,2.2E-29,7.8219815E-28,2.3E-29,3.628085E-27,7.0818803E-28,2.6000001E-29,2.5E-29,2.6000001E-29,2.7000018E-29,2.800234E-29,1.3506647E-27,7.0312121E-29,2.9E-29,3.0E-29,2.252172E-27,3.1E-29,3.2000128E-29,2.4538354E-27,3.3E-29,3.4E-29,3.5E-29,3.6000001E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0000001E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
7.1012044E7,7.829346E7,1.3126809E30,2572158.3,-2.2244641E14,406265.99,7.4928153E16,1.1432035E23,1.2348665E8,1.0E-30,1.0E-30,1.1741764E-7,1.1E-29,0.49999994,3.0211768E-23,1.4325474E-25,1.4000078E-29,3.6987902E-29,1.5E-29,0.49999994,5.3517411E-23,1.8E-29,1.9E-29,9.7681691E-18,2.1000013E-29,2.2001441E-29,2.2E-29,1.0425397E-27,2.3E-29,6.4690115E-27,7.0764339E-28,2.6000006E-29,2.5E-29,2.6000015E-29,2.7000537E-29,2.8028002E-29,1.3499375E-27,7.0273307E-29,2.9E-29,3.0E-29,2.2512785E-27,3.1E-29,3.2000577E-29,2.4528569E-27,3.3E-29,3.4000001E-29,3.5E-29,3.6000003E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0000001E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
7.829346E7,8.443594E7,1.3127017E30,2567640.0,-2.686121E14,479976.65,7.470855E16,1.1333659E23,1.2403458E8,1.0E-30,1.0E-30,1.6361963E-7,1.1E-29,0.49999992,3.015264E-23,1.4660263E-25,1.400011E-29,3.6987906E-29,1.5E-29,0.49999992,5.3484569E-23,1.8E-29,1.9E-29,2.9097728E-17,2.1000025E-29,2.2001436E-29,2.2E-29,3.9017447E-27,2.3E-29,2.3041151E-26,7.0736287E-28,2.6000034E-29,2.5E-29,2.6000105E-29,2.7003711E-29,2.8184683E-29,1.3495615E-27,7.0253436E-29,2.9E-29,3.0E-29,2.2508148E-27,3.1E-29,3.2003335E-29,2.452349E-27,3.3E-29,3.4000006E-29,3.5000001E-29,3.6000017E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0000001E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
8.443594E7,8.9799606E7,1.3128272E30,2565578.4,-3.0210115E14,426908.13,7.4522048E16,1.1250678E23,1.2436955E8,1.0E-30,1.0E-30,1.5178489E-7,1.1E-29,0.49999992,3.0101213E-23,1.5196399E-25,1.4000105E-29,3.698791E-29,1.5E-29,0.49999992,5.3438698E-23,1.8000002E-29,1.9E-29,4.5398735E-17,2.1000033E-29,2.200143E-29,2.2E-29,1.3884821E-26,2.3E-29,3.8452246E-26,7.0707995E-28,2.6000117E-29,2.5E-29,2.6000366E-29,2.701294E-29,2.8638199E-29,1.3491797E-27,7.023351E-29,2.9E-29,3.0E-29,2.2503406E-27,3.1E-29,3.2011166E-29,2.451829E-27,3.3E-29,3.4000021E-29,3.5000002E-29,3.6000056E-29,3.7000001E-29,3.8E-29,3.9E-29,3.9E-29,4.0000002E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
8.9799606E7,9.4613306E7,1.3126419E30,2551738.2,-3.3885763E14,572937.98,7.4355281E16,1.1177105E23,1.2462253E8,1.0E-30,1.0E-30,1.1961421E-7,1.1E-29,0.49999994,3.0067223E-23,1.5928151E-25,1.4000106E-29,3.6987913E-29,1.5E-29,0.49999994,5.3416991E-23,1.8000005E-29,1.9E-29,4.4334062E-17,2.1000035E-29,2.2001427E-29,2.2000004E-29,2.8086634E-26,2.3E-29,3.8367269E-26,7.0688434E-28,2.600023E-29,2.5E-29,2.6000758E-29,2.7025494E-29,2.9270821E-29,1.3489138E-27,7.0219822E-29,2.9E-29,3.0E-29,2.2500115E-27,3.1E-29,3.2022501E-29,2.4514691E-27,3.3E-29,3.4000047E-29,3.5000005E-29,3.6000118E-29,3.7000001E-29,3.8E-29,3.9E-29,3.9E-29,4.0000002E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
9.4613306E7,9.9034357E7,1.312753E30,2520041.3,-3.7807863E14,514536.28,7.4175609E16,1.1099413E23,1.2465266E8,1.0E-30,1.0E-30,8.3576629E-8,1.1E-29,0.49999996,3.0045643E-23,1.6582607E-25,1.4000179E-29,3.6987915E-29,1.5E-29,0.49999996,5.3395949E-23,1.8000025E-29,1.9000001E-29,3.3857587E-17,2.1000063E-29,2.2001428E-29,2.2000024E-29,4.0652517E-26,2.3E-29,2.9309458E-26,7.0697786E-28,2.6001288E-29,2.5E-29,2.6004205E-29,2.7144778E-29,3.5118967E-29,1.3489871E-27,7.022897E-29,2.9E-29,3.0E-29,2.250051E-27,3.1E-29,3.212402E-29,2.4515065E-27,3.3E-29,3.4000255E-29,3.5000027E-29,3.6000632E-29,3.7000006E-29,3.8E-29,3.9E-29,3.9000002E-29,4.0000004E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
9.9034357E7,1.03086E8,1.3126252E30,2523954.6,-4.107423E14,495323.96,7.4026576E16,1.1034125E23,1.2490807E8,1.0E-30,1.0E-30,6.3132105E-8,1.1E-29,0.49999997,3.0047746E-23,3.7798022E-25,1.400047E-29,3.6987921E-29,1.5E-29,0.49999997,5.3374405E-23,1.8000107E-29,1.9000004E-29,2.3400937E-17,2.1000214E-29,2.2001426E-29,2.2000094E-29,4.8787477E-25,2.3E-29,2.0283123E-26,7.0720173E-28,2.6006616E-29,2.5E-29,2.6021351E-29,2.7775794E-29,6.4603952E-29,1.3490309E-27,7.0257211E-29,2.9E-29,3.0E-29,2.2498514E-27,3.1E-29,3.2631894E-29,2.451245E-27,3.3E-29,3.4001257E-29,3.5000134E-29,3.6003145E-29,3.7000031E-29,3.8E-29,3.9E-29,3.9000009E-29,4.0000014E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.03086E8,1.0685814E8,1.312849E30,2513172.4,-4.5644275E14,649038.69,7.3838846E16,1.0953416E23,1.2508324E8,1.0E-30,1.0E-30,4.452312E-8,1.1E-29,0.49999998,3.0628978E-23,3.5183225E-24,1.400054E-29,3.6987925E-29,1.5E-29,0.49999998,5.335701E-23,1.8000106E-29,1.9000004E-29,1.9903013E-17,2.1000193E-29,2.2001425E-29,2.2000108E-29,7.1331193E-24,2.3E-29,1.7465583E-26,7.070255E-28,2.6005465E-29,2.5E-29,2.6017951E-29,2.8135985E-29,5.836888E-29,1.3488514E-27,7.0242189E-29,2.9E-29,3.0E-29,2.2496842E-27,3.1E-29,3.2528828E-29,2.4510717E-27,3.3E-29,3.4001083E-29,3.5000115E-29,3.6002685E-29,3.7000027E-29,3.8E-29,3.9E-29,3.9000008E-29,4.0000012E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
