q_m	density,	T,
0.0	30.015811	66336699.0
0.0010319420511319894	33.246938	69108112.0
0.0020640130295452607	35.459759	71035305.0
0.003095950756896978	38.330505	73588359.0
0.004127949567478717	44.711451	79078293.0
0.005159979430667572	56.621801	87271700.0
0.006191942314561933	72.552162	95122841.0
0.007223875953975709	87.853035	100622760.0
0.008255922797830766	100.49457	104468190.0
0.00928787774169135	112.82363	107640080.0
0.010319921283750234	126.89588	111076040.0
0.011351861919827243	144.67697	115178380.0
0.01238393447052427	166.24942	120033250.0
0.013415921174519847	192.75538	126195100.0
0.014447825333610153	231.8315	134428610.0
0.015479843561898172	296.09289	144902830.0
0.016511808725604166	387.91701	157373440.0
0.01754384770803978	497.90717	169435840.0
0.018575833625893372	633.34041	179989530.0
0.019607795016117976	795.66701	189336090.0
0.020639766154502772	999.82395	197108930.0
0.021671833831119758	1212.2673	204521320.0
0.022703723132127162	1481.4525	210740880.0
0.023735806452969035	1812.4617	215212500.0
0.024767753614024286	2221.7805	216345160.0
0.02579971209552371	2772.924	213426210.0
0.026831787161874922	3415.0919	208733500.0
0.02786374021899487	4159.8465	202746610.0
0.028895741781073347	5041.5939	198136720.0
0.029927822979331917	5862.1532	193478290.0
0.030959649231754437	6935.7172	189105240.0
0.03199173215952532	7971.7229	184691180.0
0.03302362947918061	9002.8539	180669120.0
0.03405568764347984	10330.782	177560910.0
0.035087742820439666	11312.297	174405270.0
0.036119659479187015	12656.36	171974870.0
0.03715173179404149	13883.207	170420760.0
0.03818367235150428	14930.123	168710330.0
0.03921562643060877	16638.2	166353910.0
0.04024760778883909	17581.345	164944090.0
0.041279673971786314	19187.829	163386330.0
0.042311638899649756	20600.234	160940450.0
0.043343653197227945	21806.467	159318190.0
0.044375556098491045	23300.275	157782630.0
0.045407641620530445	25064.495	155898170.0
0.04643964058834051	26518.906	154889880.0
0.04747168318702907	27765.627	153475670.0
0.04850365023747582	28965.37	151853080.0
0.04953563513334487	30615.867	150776500.0
0.05056768292057047	32341.394	150388920.0
0.05159958998838596	33984.518	149781400.0
0.052631595323945936	35570.877	148597200.0
0.05366357503127806	36137.171	148185590.0
0.0546954907466552	38401.382	147304030.0
0.05572750465116239	39432.312	147088070.0
0.05675945016131956	41377.126	146149350.0
0.057791499756671576	43054.344	145769850.0
0.05882354620745575	44418.626	145616010.0
0.05985545791350883	45222.018	144878590.0
0.06088741246429854	47639.72	144356870.0
0.06191946080182335	48412.846	144165070.0
0.0629514087490206	50314.624	144180910.0
0.06398342375412655	51680.389	143344220.0
0.06501537720431748	54442.034	142979830.0
0.06604745958178893	53637.516	142860870.0
0.06707940265490613	56645.586	142285850.0
0.06811142929491303	58946.63	142277430.0
0.06914335821747486	58851.067	141805600.0
0.07017546842437158	60349.482	141364240.0
0.07120743932691394	62176.231	141329940.0
0.07223937618950967	63957.781	141258980.0
0.07327150274815904	66586.562	140650770.0
0.0743033172870665	68051.576	140534670.0
0.07533534219756109	68486.681	140367060.0
0.07636731089890593	68491.709	140129410.0
0.07739939665678777	73275.433	139123290.0
0.07843134090911773	73500.035	139395310.0
0.07946331078967554	73245.685	139419920.0
0.08049525299803642	77503.723	138908350.0
0.08152726910374114	78189.551	138910900.0
0.0825593511667558	79380.29	138656580.0
0.08359127883149067	82590.637	138103720.0
0.08462331514104365	81710.339	137903260.0
0.08565528454991614	84164.198	137636160.0
0.08668726362833472	85139.692	137658860.0
0.08771926306782989	89273.756	137853010.0
0.08875125763324503	88204.972	136945750.0
0.08978325227727438	91329.425	136734620.0
0.09081520635637887	89658.331	136851360.0
0.09184718056071729	95408.598	136916810.0
0.09287924477830965	95950.555	136697220.0
0.09391116072952935	97104.744	136383750.0
0.09494314766936748	98202.438	136088350.0
0.09597525795487831	99718.134	136006360.0
0.09700724882542627	103828.74	135933700.0
0.09803925038750486	102098.28	135891750.0
0.09907110336875388	102977.21	135614420.0
0.10010318983416361	108454.39	135617010.0
0.10113512811181476	107709.49	135174850.0
0.10216719484506143	111206.07	135132530.0
0.10319909774632463	109502.1	135003400.0
0.10423108971747125	110349.43	134994340.0
0.10526307115431568	117087.81	134446050.0
0.10629515133058971	118187.41	134788330.0
0.10732716617846723	116728.67	134417900.0
0.10835909345013109	120361.24	134497320.0
0.10939106443128756	119996.91	134255910.0
0.11042314209190729	121516.26	134083880.0
0.11145501268273618	124554.63	134173930.0
0.11248707265516195	127913.97	133555420.0
0.11351900818131624	128065.78	133586130.0
0.11455098120644179	126494.34	133427720.0
0.11558307026611982	130123.78	133422470.0
0.1166149654631919	133555.97	133141370.0
0.11764711073201979	132527.18	132904840.0
0.11867898706168493	137215.25	133308520.0
0.11971110670228507	137218.68	132781310.0
0.12074304497993622	137796.86	132951160.0
0.12177497303774197	141245.95	132594400.0
0.12280693442796657	140882.06	132241890.0
0.12383891963829251	144227.92	132318550.0
0.12487093660875333	147480.95	132156670.0
0.12590300735132393	145905.03	132142650.0
0.12693489169963695	148428.8	132068310.0
0.1279668867367373	150074.38	131884270.0
0.12899898640933172	150580.26	131333940.0
0.13003093938783755	153747.37	131781860.0
0.13106293340295339	155266.23	131810310.0
0.1320948410210682	155391.47	131410240.0
0.13312692685756425	159369.25	131298700.0
0.13415882472751897	161266.96	131087020.0
0.13519090561132077	164675.18	131272070.0
0.1362228424739164	160852.74	131056460.0
0.13725490669150875	161216.26	131058930.0
0.13828691179122607	167306.04	130600050.0
0.13931885682969802	169178.73	130698260.0
0.14035082073557692	169044.85	130698080.0
0.14138284336625986	171987.44	130575770.0
0.1424147895053307	172536.63	130485470.0
0.1434468292739082	176669.55	130623710.0
0.1444787897993767	176521.72	130244930.0
0.14551075622090978	175784.41	130334180.0
0.14654273482764324	180810.61	130398610.0
0.14757479692265232	181589.92	130193150.0
0.14860677104837663	185201.04	129978460.0
0.14963879360044535	185936.98	129740450.0
0.15067082094798004	182679.54	129925820.0
0.15170273878594026	189440.03	129672800.0
0.15273471008155362	187309.37	129385630.0
0.15376668908135807	193386.43	129706840.0
0.1547987382836391	189149.86	129662030.0
0.1558306530556458	194484.14	129697660.0
0.15686265398881075	197472.01	129172510.0
0.15789478998116363	199524.26	129454490.0
0.15892669642006568	200118.4	129257980.0
0.15995874373560598	201361.14	129367650.0
0.16099067360153824	200809.82	129327050.0
0.1620226580257222	204339.99	129387360.0
0.163054706756318	204316.52	129109060.0
0.16408666948298392	212671.41	129049690.0
0.1651185871637158	208641.66	128906990.0
0.16615065216745004	208174.51	128898770.0
0.1671826129287611	212898.89	129206590.0
0.16821466889186293	215760.67	128911730.0
0.16924657698166307	213781.33	128861280.0
0.17027866415460044	217873.44	129083000.0
0.1713105601378144	221846.83	128985450.0
0.17234257419955004	225136.16	128839360.0
0.17337458755375793	221629.6	128971170.0
0.1744065123883817	222182.58	128416620.0
0.17543864405695378	223412.18	128961800.0
0.17647055859311783	226221.37	128794360.0
0.17750248374219849	228268.52	128777160.0
0.17853449717502048	233072.49	128793480.0
0.17956655588961914	234404.42	128771470.0
0.1805985203457975	233504.04	128484800.0
0.18163056207972983	235814.44	128717780.0
0.18266250782572954	238976.63	128587860.0
0.18369453996873014	238858.24	128791710.0
0.18472650466075105	242682.14	128836490.0
0.1857584188038442	236582.22	128760510.0
0.18679051446711467	246063.2	128558120.0
0.18782245415982138	245928.13	128816200.0
0.18885456224413477	250640.1	128784320.0
0.1898865063392365	248482.48	128756360.0
0.1909183714270716	255043.59	128661890.0
0.1919504205507384	251909.05	128780040.0
0.19298238327740433	250352.05	128537430.0
0.1940144305929446	257934.95	128792140.0
0.19504642688787216	254401.27	128721530.0
0.19607844621675882	262347.03	128794460.0
0.1971104351219518	261205.68	128790150.0
0.19814236616709707	261251.33	128866470.0
0.19917431655133427	262765.38	128877060.0
0.20020642620793166	267734.88	128708200.0
0.20123838775538472	267063.58	128656600.0
0.202270347809168	267356.88	129131580.0
0.20330230353917045	271739.53	128871590.0
0.20433434951826954	273732.73	129024370.0
0.20536639879916477	280439.96	128812680.0
0.20639825319546934	272056.82	129196780.0
0.2074303152904784	277247.86	129040550.0
0.2084622574988393	284624.01	128858200.0
0.20949430127674082	280459.52	128925560.0
0.21052626361033586	278174.14	129247680.0
0.21155826037694841	287673.96	129016500.0
0.21259023458128695	282135.98	129055760.0
0.21362219172634495	290822.12	129260550.0
0.21465430358413976	290151.25	129417920.0
0.21568631190703913	286246.3	129022860.0
0.21671819908546322	291846.09	129064630.0
0.2177502149553254	297327.38	129388380.0
0.2187823000842937	300252.33	129556670.0
0.2198142063659673	299258.65	129331240.0
0.22084613866893965	302401.13	129392410.0
0.22187816876797115	299730.42	129321290.0
0.22291020232602718	300539.03	129508580.0
0.2239422019227508	304451.17	129546480.0
0.22497416425634584	308135.68	129580500.0
0.2260061330363048	305518.68	129594910.0
0.2270381974897397	315559.89	129643640.0
0.2280701072304379	305259.92	129566850.0
0.22910215092972513	314487.53	129884890.0
0.2301341010781199	314605.67	129576900.0
0.23116613282804951	319322.88	129740420.0
0.23219812031818707	321021.41	129997690.0
0.23323011629865764	322996.1	129694920.0
0.23426208900932652	319099.64	129925400.0
0.2352940468619123	321644.38	129782380.0
0.2363260113180906	321004.13	130017470.0
0.2373580526589521	325044.44	129885280.0
