# nshells: 1000
# nspecies: 55
# ncolumns: 64
# total mass: 1.31273e+33
# total mass of n: 5.99433e+13
# total mass of p: 2.07164e+28
# total mass of he4: 5.8991e+30
# total mass of b11: 1.21373e+13
# total mass of c12: 6.35572e+32
# total mass of c13: 1.39765e+25
# total mass of n13: 3.28131e+27
# total mass of n14: 2.01345e+25
# total mass of n15: 6.3728e+23
# total mass of o15: 1.19049e+25
# total mass of o16: 6.31626e+32
# total mass of o17: 2.67075e+23
# total mass of f18: 2.2498e+23
# total mass of ne19: 3.25836e+23
# total mass of ne20: 5.98886e+30
# total mass of ne21: 2.58551e+24
# total mass of ne22: 1.7321e+23
# total mass of na22: 4.53445e+24
# total mass of na23: 2.66566e+26
# total mass of mg23: 2.08029e+26
# total mass of mg24: 1.36535e+30
# total mass of mg25: 5.98673e+26
# total mass of mg26: 3.4907e+25
# total mass of al25: 1.2202e+27
# total mass of al26: 4.36391e+26
# total mass of al27: 1.67149e+27
# total mass of si28: 7.57514e+29
# total mass of si29: 1.46796e+27
# total mass of si30: 1.28004e+26
# total mass of p29: 3.00664e+27
# total mass of p30: 3.4574e+26
# total mass of p31: 5.01945e+26
# total mass of s31: 3.16394e+26
# total mass of s32: 3.63754e+29
# total mass of s33: 1.00852e+27
# total mass of cl33: 2.11737e+27
# total mass of cl34: 4.84338e+26
# total mass of cl35: 8.40278e+24
# total mass of ar36: 8.51267e+28
# total mass of ar37: 5.62017e+25
# total mass of ar38: 2.88498e+22
# total mass of ar39: 3.51171e+19
# total mass of k39: 8.62166e+24
# total mass of ca40: 9.42877e+28
# total mass of sc43: 5.56911e+20
# total mass of ti44: 8.65616e+26
# total mass of v47: 1.55817e+22
# total mass of cr48: 3.89756e+27
# total mass of mn51: 5.39383e+22
# total mass of fe52: 5.367e+28
# total mass of fe54: 1.61762e+26
# total mass of co55: 1.00134e+23
# total mass of ni56: 3.02397e+31
# total mass of ni58: 6.07831e+29
# total mass of ni59: 3.44922e+28
# r_inner, r_outer, mass, density, l_z, v_r, u, p, T, xn_n, xn_p, xn_he4, xn_b11, xn_c12, xn_c13, xn_n13, xn_n14, xn_n15, xn_o15, xn_o16, xn_o17, xn_f18, xn_ne19, xn_ne20, xn_ne21, xn_ne22, xn_na22, xn_na23, xn_mg23, xn_mg24, xn_mg25, xn_mg26, xn_al25, xn_al26, xn_al27, xn_si28, xn_si29, xn_si30, xn_p29, xn_p30, xn_p31, xn_s31, xn_s32, xn_s33, xn_cl33, xn_cl34, xn_cl35, xn_ar36, xn_ar37, xn_ar38, xn_ar39, xn_k39, xn_ca40, xn_sc43, xn_ti44, xn_v47, xn_cr48, xn_mn51, xn_fe52, xn_fe54, xn_co55, xn_ni56, xn_ni58, xn_ni59
0.0000000e+00 4.9166210e+07 1.3126576e+30 2.6367116e+06 -7.6228856e+13 2.1972965e+05 7.5798027e+16 1.1798977e+23 1.2620204e+08 1.0000000e-30 1.0000000e-30 7.3266125e-08 1.1000000e-29 4.9999996e-01 3.0046883e-23 1.5564435e-25 1.4000052e-29 3.6987901e-29 1.5000000e-29 4.9999996e-01 5.3541592e-23 1.8000000e-29 1.9000000e-29 1.2282758e-17 2.1000016e-29 2.2001436e-29 2.2000000e-29 5.9905214e-28 2.3000000e-29 7.1443641e-27 7.0739884e-28 2.6000002e-29 2.5000000e-29 2.6000001e-29 2.7000005e-29 2.8003823e-29 1.3496133e-27 7.0255728e-29 2.9000000e-29 3.0000000e-29 2.2508815e-27 3.1000000e-29 3.2000289e-29 2.4524232e-27 3.3000000e-29 3.4000000e-29 3.5000000e-29 3.6000003e-29 3.7000000e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000002e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
4.9166210e+07 6.1942604e+07 1.3126862e+30 2.6375200e+06 -1.3420585e+14 2.8626827e+05 7.5394349e+16 1.1644661e+23 1.2228322e+08 1.0000000e-30 1.0000000e-30 6.9450163e-08 1.1000000e-29 4.9999997e-01 3.0324204e-23 1.4152117e-25 1.4000048e-29 3.6987884e-29 1.5000000e-29 4.9999997e-01 5.3564604e-23 1.8000000e-29 1.9000000e-29 6.8418677e-18 2.1000010e-29 2.2001457e-29 2.2000000e-29 7.5862219e-28 2.3000000e-29 4.0978104e-27 7.0849073e-28 2.6000001e-29 2.5000000e-29 2.6000000e-29 2.7000003e-29 2.8001969e-29 1.3510693e-27 7.0333638e-29 2.9000000e-29 3.0000000e-29 2.2526698e-27 3.1000000e-29 3.2000146e-29 2.4543809e-27 3.3000000e-29 3.4000000e-29 3.5000000e-29 3.6000001e-29 3.7000000e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000001e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
6.1942604e+07 7.1012044e+07 1.3128208e+30 2.6025251e+06 -1.8173154e+14 3.8587939e+05 7.5135718e+16 1.1529607e+23 1.2247483e+08 1.0000000e-30 1.0000000e-30 8.0559008e-08 1.1000000e-29 4.9999996e-01 3.0289793e-23 1.4022988e-25 1.4000055e-29 3.6987894e-29 1.5000000e-29 4.9999996e-01 5.3532164e-23 1.8000000e-29 1.9000000e-29 6.0581276e-18 2.1000009e-29 2.2001451e-29 2.2000000e-29 7.8219815e-28 2.3000000e-29 3.6280850e-27 7.0818803e-28 2.6000001e-29 2.5000000e-29 2.6000001e-29 2.7000018e-29 2.8002340e-29 1.3506647e-27 7.0312121e-29 2.9000000e-29 3.0000000e-29 2.2521720e-27 3.1000000e-29 3.2000128e-29 2.4538354e-27 3.3000000e-29 3.4000000e-29 3.5000000e-29 3.6000001e-29 3.7000000e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000001e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
7.1012044e+07 7.8293460e+07 1.3126809e+30 2.5721583e+06 -2.2244641e+14 4.0626599e+05 7.4928153e+16 1.1432035e+23 1.2348665e+08 1.0000000e-30 1.0000000e-30 1.1741764e-07 1.1000000e-29 4.9999994e-01 3.0211768e-23 1.4325474e-25 1.4000078e-29 3.6987902e-29 1.5000000e-29 4.9999994e-01 5.3517411e-23 1.8000000e-29 1.9000000e-29 9.7681691e-18 2.1000013e-29 2.2001441e-29 2.2000000e-29 1.0425397e-27 2.3000000e-29 6.4690115e-27 7.0764339e-28 2.6000006e-29 2.5000000e-29 2.6000015e-29 2.7000537e-29 2.8028002e-29 1.3499375e-27 7.0273307e-29 2.9000000e-29 3.0000000e-29 2.2512785e-27 3.1000000e-29 3.2000577e-29 2.4528569e-27 3.3000000e-29 3.4000001e-29 3.5000000e-29 3.6000003e-29 3.7000000e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000001e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
7.8293460e+07 8.4435940e+07 1.3127017e+30 2.5676400e+06 -2.6861210e+14 4.7997665e+05 7.4708550e+16 1.1333659e+23 1.2403458e+08 1.0000000e-30 1.0000000e-30 1.6361963e-07 1.1000000e-29 4.9999992e-01 3.0152640e-23 1.4660263e-25 1.4000110e-29 3.6987906e-29 1.5000000e-29 4.9999992e-01 5.3484569e-23 1.8000000e-29 1.9000000e-29 2.9097728e-17 2.1000025e-29 2.2001436e-29 2.2000000e-29 3.9017447e-27 2.3000000e-29 2.3041151e-26 7.0736287e-28 2.6000034e-29 2.5000000e-29 2.6000105e-29 2.7003711e-29 2.8184683e-29 1.3495615e-27 7.0253436e-29 2.9000000e-29 3.0000000e-29 2.2508148e-27 3.1000000e-29 3.2003335e-29 2.4523490e-27 3.3000000e-29 3.4000006e-29 3.5000001e-29 3.6000017e-29 3.7000000e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000001e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
8.4435940e+07 8.9799606e+07 1.3128272e+30 2.5655784e+06 -3.0210115e+14 4.2690813e+05 7.4522048e+16 1.1250678e+23 1.2436955e+08 1.0000000e-30 1.0000000e-30 1.5178489e-07 1.1000000e-29 4.9999992e-01 3.0101213e-23 1.5196399e-25 1.4000105e-29 3.6987910e-29 1.5000000e-29 4.9999992e-01 5.3438698e-23 1.8000002e-29 1.9000000e-29 4.5398735e-17 2.1000033e-29 2.2001430e-29 2.2000000e-29 1.3884821e-26 2.3000000e-29 3.8452246e-26 7.0707995e-28 2.6000117e-29 2.5000000e-29 2.6000366e-29 2.7012940e-29 2.8638199e-29 1.3491797e-27 7.0233510e-29 2.9000000e-29 3.0000000e-29 2.2503406e-27 3.1000000e-29 3.2011166e-29 2.4518290e-27 3.3000000e-29 3.4000021e-29 3.5000002e-29 3.6000056e-29 3.7000001e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000002e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
8.9799606e+07 9.4613306e+07 1.3126419e+30 2.5517382e+06 -3.3885763e+14 5.7293798e+05 7.4355281e+16 1.1177105e+23 1.2462253e+08 1.0000000e-30 1.0000000e-30 1.1961421e-07 1.1000000e-29 4.9999994e-01 3.0067223e-23 1.5928151e-25 1.4000106e-29 3.6987913e-29 1.5000000e-29 4.9999994e-01 5.3416991e-23 1.8000005e-29 1.9000000e-29 4.4334062e-17 2.1000035e-29 2.2001427e-29 2.2000004e-29 2.8086634e-26 2.3000000e-29 3.8367269e-26 7.0688434e-28 2.6000230e-29 2.5000000e-29 2.6000758e-29 2.7025494e-29 2.9270821e-29 1.3489138e-27 7.0219822e-29 2.9000000e-29 3.0000000e-29 2.2500115e-27 3.1000000e-29 3.2022501e-29 2.4514691e-27 3.3000000e-29 3.4000047e-29 3.5000005e-29 3.6000118e-29 3.7000001e-29 3.8000000e-29 3.9000000e-29 3.9000000e-29 4.0000002e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
9.4613306e+07 9.9034357e+07 1.3127530e+30 2.5200413e+06 -3.7807863e+14 5.1453628e+05 7.4175609e+16 1.1099413e+23 1.2465266e+08 1.0000000e-30 1.0000000e-30 8.3576629e-08 1.1000000e-29 4.9999996e-01 3.0045643e-23 1.6582607e-25 1.4000179e-29 3.6987915e-29 1.5000000e-29 4.9999996e-01 5.3395949e-23 1.8000025e-29 1.9000001e-29 3.3857587e-17 2.1000063e-29 2.2001428e-29 2.2000024e-29 4.0652517e-26 2.3000000e-29 2.9309458e-26 7.0697786e-28 2.6001288e-29 2.5000000e-29 2.6004205e-29 2.7144778e-29 3.5118967e-29 1.3489871e-27 7.0228970e-29 2.9000000e-29 3.0000000e-29 2.2500510e-27 3.1000000e-29 3.2124020e-29 2.4515065e-27 3.3000000e-29 3.4000255e-29 3.5000027e-29 3.6000632e-29 3.7000006e-29 3.8000000e-29 3.9000000e-29 3.9000002e-29 4.0000004e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
9.9034357e+07 1.0308600e+08 1.3126252e+30 2.5239546e+06 -4.1074230e+14 4.9532396e+05 7.4026576e+16 1.1034125e+23 1.2490807e+08 1.0000000e-30 1.0000000e-30 6.3132105e-08 1.1000000e-29 4.9999997e-01 3.0047746e-23 3.7798022e-25 1.4000470e-29 3.6987921e-29 1.5000000e-29 4.9999997e-01 5.3374405e-23 1.8000107e-29 1.9000004e-29 2.3400937e-17 2.1000214e-29 2.2001426e-29 2.2000094e-29 4.8787477e-25 2.3000000e-29 2.0283123e-26 7.0720173e-28 2.6006616e-29 2.5000000e-29 2.6021351e-29 2.7775794e-29 6.4603952e-29 1.3490309e-27 7.0257211e-29 2.9000000e-29 3.0000000e-29 2.2498514e-27 3.1000000e-29 3.2631894e-29 2.4512450e-27 3.3000000e-29 3.4001257e-29 3.5000134e-29 3.6003145e-29 3.7000031e-29 3.8000000e-29 3.9000000e-29 3.9000009e-29 4.0000014e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
1.0308600e+08 1.0685814e+08 1.3128490e+30 2.5131724e+06 -4.5644275e+14 6.4903869e+05 7.3838846e+16 1.0953416e+23 1.2508324e+08 1.0000000e-30 1.0000000e-30 4.4523120e-08 1.1000000e-29 4.9999998e-01 3.0628978e-23 3.5183225e-24 1.4000540e-29 3.6987925e-29 1.5000000e-29 4.9999998e-01 5.3357010e-23 1.8000106e-29 1.9000004e-29 1.9903013e-17 2.1000193e-29 2.2001425e-29 2.2000108e-29 7.1331193e-24 2.3000000e-29 1.7465583e-26 7.0702550e-28 2.6005465e-29 2.5000000e-29 2.6017951e-29 2.8135985e-29 5.8368880e-29 1.3488514e-27 7.0242189e-29 2.9000000e-29 3.0000000e-29 2.2496842e-27 3.1000000e-29 3.2528828e-29 2.4510717e-27 3.3000000e-29 3.4001083e-29 3.5000115e-29 3.6002685e-29 3.7000027e-29 3.8000000e-29 3.9000000e-29 3.9000008e-29 4.0000012e-29 4.3000000e-29 4.4000000e-29 4.7000000e-29 4.8000000e-29 5.1000000e-29 5.2000000e-29 5.4000000e-29 5.5000000e-29 5.6000000e-29 5.8000000e-29 5.9000000e-29
