remnant_mass_fraction	density,	T,
0.0	1.0130862	10094159.0
0.0010001199179100473	1.0796419	10675364.0
0.002000103631083827	1.170174	11416246.0
0.00300012459488197	1.3203992	12171002.0
0.00400018501844146	1.4293508	12966221.0
0.005000200497485063	1.5895995	13747247.0
0.006000083275941037	1.7399383	14649477.0
0.007000216981914664	1.9371403	15740864.0
0.008000112329599629	2.1980233	16930825.0
0.009000147462346786	2.444787	18083920.0
0.01000022555900415	2.7365078	19360050.0
0.011000176211296786	3.1139471	20567898.0
0.01200016251449365	3.4678025	21770660.0
0.013000149884170531	3.8959494	23084043.0
0.014000115467183827	4.3389503	24396767.0
0.01500013391713606	4.955057	25839630.0
0.016000098128960638	5.6637715	27840812.0
0.01700008481304327	6.296781	29679232.0
0.018000078200714698	7.0082575	31614472.0
0.01900008027258071	7.5224107	33398511.0
0.020000077545286543	8.2892351	35194710.0
0.021000074970346727	9.0099027	37184201.0
0.022000073461886926	10.081903	39183382.0
0.023000113698502855	11.397748	41455868.0
0.024000211753572254	12.567968	43782257.0
0.025000075487741857	13.870578	45832751.0
0.026000139263095856	15.329108	48160427.0
0.027000096466623158	17.854958	52082935.0
0.028000082617465782	21.709842	57584028.0
0.02900012917678474	25.924361	62551816.0
0.030000179697315388	30.015811	66336699.0
0.03100013141608804	33.246938	69108112.0
0.03200020806537973	35.459759	71035305.0
0.033000155594409386	38.330505	73588359.0
0.03400016231308134	44.711451	79078293.0
0.035000199121725695	56.621801	87271700.0
0.03600017102744213	72.552162	95122841.0
0.037000114595260314	87.853035	100622760.0
0.03800016785816818	100.49457	104468190.0
0.039000132069992755	112.82363	107640080.0
0.04000018213346046	126.89588	111076040.0
0.041000132481044504	144.67697	115178380.0
0.042000210653879044	166.24942	120033250.0
0.043000205641270495	192.75538	126195100.0
0.04400012064265901	231.8315	134428610.0
0.04500014617708592	296.09289	144902830.0
0.04600012029193945	387.91701	157373440.0
0.047000165937132854	497.90717	169435840.0
0.04800016016275277	633.34041	179989530.0
0.04900013062110331	795.66701	189336090.0
0.05000011052541997	999.82395	197108930.0
0.051000183975271396	1212.2673	204521320.0
0.052000084579179484	1481.4525	210740880.0
0.05300017318828287	1812.4617	215212500.0
0.05400012985857017	2221.7805	216345160.0
0.05500009749836632	2772.924	213426210.0
0.05600017810886948	3415.0919	208733500.0
0.05700014049244262	4159.8465	202746610.0
0.05800014987731461	5041.5939	198136720.0
0.05900023642963503	5862.1532	193478290.0
0.06000007593947221	6935.7172	189105240.0
0.06100016416768994	7971.7229	184691180.0
0.06200007254166673	9002.8539	180669120.0
0.06300013677408356	10330.782	177560910.0
0.06400019811176882	11312.297	174405270.0
0.0650001252253235	12656.36	171974870.0
0.06600020316962651	13883.207	170420760.0
0.0670001534410335	14930.123	168710330.0
0.06800011681490958	16638.2	166353910.0
0.0690001066222552	17581.345	164944090.0
0.07000017862474084	19187.829	163386330.0
0.07100015251106295	20600.234	160940450.0
0.07200017423663252	21806.467	159318190.0
0.07300008801918678	23300.275	157782630.0
0.07400017876125031	25064.495	155898170.0
0.0750001856322764	26518.906	154889880.0
0.07600023478161844	27765.627	153475670.0
0.07700021072472352	28965.37	151853080.0
0.0780002039600407	30615.867	150776500.0
0.07900025813707434	32341.394	150388920.0
0.08000017595701725	33984.518	149781400.0
0.08100018899839234	35570.877	148597200.0
0.08200017720601771	36137.171	148185590.0
0.08300010340544672	38401.382	147304030.0
0.08400012475013063	39432.312	147088070.0
0.0850000798206978	41377.126	146149350.0
0.0860001357498058	43054.344	145769850.0
0.0870001886318279	44418.626	145616010.0
0.08800011094622251	45222.018	144878590.0
0.08900007477716143	47639.72	144356870.0
0.09000012948743508	48412.846	144165070.0
0.0910000869194938	50314.624	144180910.0
0.09200010933065772	51680.389	143344220.0
0.09300007209511651	54442.034	142979830.0
0.09400015979009424	53637.516	142860870.0
0.09500011249916984	56645.586	142285850.0
0.09600014618455144	58946.63	142277430.0
0.09700008518174075	58851.067	141805600.0
0.09800019984342812	60349.482	141364240.0
0.09900017951921325	62176.231	141329940.0
0.10000012621029453	63957.781	141258980.0
0.101000256716828	66586.562	140650770.0
0.10200008487627055	68051.576	140534670.0
0.10300011688575483	68486.681	140367060.0
0.10400009442857994	68491.709	140129410.0
0.10500018539917488	73275.433	139123290.0
0.10600013925090768	73500.035	139395310.0
0.10700011793638997	73245.685	139419920.0
0.10800006980751697	77503.723	138908350.0
0.10900009328516092	78189.551	138910900.0
0.11000018067543005	79380.29	138656580.0
0.11100011845378521	82590.637	138103720.0
0.11200016150895553	81710.339	137903260.0
0.113000139737375	84164.198	137636160.0
0.11400012733558329	85139.692	137658860.0
0.11500013466367232	89273.756	137853010.0
0.11600013726877823	88204.972	136945750.0
0.11700013995006142	91329.425	136734620.0
0.11800010332393751	89658.331	136851360.0
0.1190000861991628	95408.598	136916810.0
0.12000015629721983	95950.555	136697220.0
0.12100008272518026	97104.744	136383750.0
0.12200007794110312	98202.438	136088350.0
0.12300019267896745	99718.134	136006360.0
0.12400019170374765	103828.74	135933700.0
0.12500020108861964	102098.28	135891750.0
0.12600006649868645	102977.21	135614420.0
0.12700015815487575	108454.39	135617010.0
0.12800010621714553	107709.49	135174850.0
0.1290001787528713	111206.07	135132530.0
0.13000009253542544	109502.1	135003400.0
0.13100009262668566	110349.43	134994340.0
0.13200008251020834	117087.81	134446050.0
0.13300016807222592	118187.41	134788330.0
0.1340001903310355	116728.67	134417900.0
0.1350001277285049	120361.24	134497320.0
0.1360001074804672	119996.91	134255910.0
0.13700019060481616	121516.26	134083880.0
0.13800007307856366	124554.63	134173930.0
0.13900013906305475	127913.97	133555420.0
