                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230703"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     306                                     1048                  1.0780894434800986E+007                  3.0421308492323660E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.3116881516061030E+000                  1.5297132671619862E-001                  7.8128081691664075E-008                  3.7445746545091679E-001                  3.3216783615460693E-001                  1.5297132671619862E-001                  7.8128081691664075E-008                  3.7445746545091679E-001                  3.3216783615460693E-001                  4.5785315187931843E+000                 -1.7970935162703725E+001                 -1.0660988584847640E+001                  4.5785315187931852E+000                  8.5445851122704342E-001                  4.5784495304147024E+000                 -1.7970935162703725E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4270627262527428E+033                  1.0750489640527924E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844397E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4192523450680961E+000                  4.6276834724261233E+000                  9.9799020694136609E-001                  3.6181784724760822E+000                  0.0000000000000000E+000                  1.6898675120726047E+001                  1.2716243469230664E+000                  7.7172643003548789E+000                  1.3379879045649647E+000                  5.0040690751919614E-001                  4.0488451987879870E+000                  8.1381503839191016E-004                  9.7980145281637399E-001                  2.5553301605499648E-004                  2.0325101404110391E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5726309360452086E+000                  7.1286230481251636E+000                                        0                                        5 
                                     310                                     1096                  1.0786088215096544E+007                  3.0066733153115028E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  1.9213751342466705E+000                  1.2740709370128855E-001                  7.8128082246775588E-008                  3.7906940478685203E-001                  3.3216773240634306E-001                  1.2740709370128855E-001                  7.8128082246775588E-008                  3.7906940478685203E-001                  3.3216773240634306E-001                  4.5463617408309593E+000                 -1.6601899220353218E+001                 -9.8999999999999986E+001                  4.5463617408309585E+000                  1.0558664024330990E+000                  4.5462213433971765E+000                 -1.6601899220353218E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3400939724700353E+033                  1.1389208293411878E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844486E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4268821643011202E+000                  4.6381773105717397E+000                  9.8797748754812498E-001                  3.6382039112625644E+000                  0.0000000000000000E+000                  1.7037163411713102E+001                  1.3881940431828690E+000                  7.7462979490359141E+000                  1.3394208929768900E+000                  5.0008677746103780E-001                  4.0567205278624661E+000                  1.7355492207550704E-004                  9.8044460882629303E-001                  2.7235615219696713E-004                  2.0251471341703009E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5707279380416965E+000                  7.1305355058590134E+000                                        0                                        5 
                                     315                                     1123                  1.0788819137356076E+007                  2.5221232502712208E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  8.5326935750534039E-001                  3.9507348596666869E-001                  3.0432220630358087E-001                  5.6210360389139041E-002                  7.8128081885953105E-008                  3.9507348596666869E-001                  3.0432220630358087E-001                  5.6210360389139041E-002                  7.8128081885953105E-008                  4.5470584838673132E+000                 -1.5271898997885712E+001                 -9.8999999999999986E+001                  4.5470584838673123E+000                  1.7457759407646414E+000                  4.5463716603857520E+000                 -1.5271898997885712E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5432343069451153E+033                  1.1973300687407018E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844473E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4288584190510880E+000                  4.6414606360720212E+000                  9.8566664079833111E-001                  3.6428256047621521E+000                  0.0000000000000000E+000                  1.7203954634146442E+001                  1.5410168677746943E+000                  7.7746317898190407E+000                  1.3397939954796045E+000                  5.0000340013151223E-001                  4.0587709773582166E+000                  6.8002630242550311E-006                  9.8061350120842039E-001                  2.8500609773049533E-004                  2.0227952285255583E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5697815970510360E+000                  7.1314890228458303E+000                                        0                                        5 
                                     320                                     1115                  1.0789918450003432E+007                  2.3897557033423014E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6750577725767763E-001                  2.2638639486172010E-001                  4.0092547221955260E-001                  3.9307635434028593E-001                  3.6750577725767763E-001                  2.2638639486172010E-001                  4.0092547221955260E-001                  3.9307635434028593E-001                  4.5601565668350821E+000                 -1.4788310991026950E+001                 -1.0837079843903322E+001                  4.5601565668350830E+000                  2.1860014931068505E+000                  4.5583177082043704E+000                 -1.4788310991026950E+001                  0.0000000000000000E+000                  2.1952618752532228E+033                  9.8372483406751534E+033                  1.2030254805516397E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844446E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4271993563533272E+000                  4.6410745061005674E+000                  9.8879170120812609E-001                  3.6365754839425621E+000                  0.0000000000000000E+000                  1.7286041568001746E+001                  1.6233726851293373E+000                  7.7843693194766237E+000                  1.3398090843009851E+000                  5.0000001252230486E-001                  4.0588536453271074E+000                  2.5044609673924345E-008                  9.8062052968125857E-001                  2.8651680503772789E-004                  2.0226776387202819E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5693528719953829E+000                  7.1319212071132752E+000                                        0                                        6 
                                     325                                     1163                  1.0792109252723938E+007                  2.7856619335804251E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.2586000639622859E-001                  2.1442388220668271E-001                  3.5889923063312679E-001                  3.5726156173542256E-001                  3.2586000639622859E-001                  2.1442388220668271E-001                  3.5889923063312679E-001                  3.5726156173542256E-001                  4.6646112722841027E+000                 -1.4023715030734143E+001                 -1.0293011799553046E+001                  4.6646112722841035E+000                  1.9232502298520311E+000                  4.6638227436410951E+000                 -1.4023715030734143E+001                  1.6037115539968468E+033                  2.6903640588208794E+033                  9.6138463660868108E+033                  1.2332760603147507E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1001693248061746E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4216254414677509E+000                  4.6542645444671731E+000                  1.0065345501625815E+000                  3.6010897860336510E+000                  0.0000000000000000E+000                  1.7428979199736862E+001                  1.7685596394126213E+000                  7.7987159294166570E+000                  1.3398091396659022E+000                  5.0000000000003120E-001                  4.0588539471389984E+000                  6.2380640794435343E-014                  9.8062055657876224E-001                  2.8652788236676794E-004                  2.0226770999346680E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5683944739755660E+000                  7.1328803662555851E+000                                        0                                        5 
                                     330                                     1224                  1.0796640422308251E+007                  2.9628887578913528E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.5180550125248137E-001                  2.1340206931965286E-001                  9.9999992902535062E-001                  9.9999944982544631E-001                  4.5180550125248137E-001                  2.1340206931965286E-001                  9.9999992902535062E-001                  9.9999944982544631E-001                  4.6737889324536503E+000                 -1.2227014448499856E+001                 -9.5583262429504927E+000                  4.6737889324536530E+000                  2.2274979241822410E+000                  4.6722319936602430E+000                 -1.2227014448499856E+001                  2.5191980444292463E+033                  3.2627231524781504E+033                  9.1606459678942640E+033                  1.1453319501153358E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009255E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068290369659149E+000                  4.6589289120343311E+000                  1.0384595429498333E+000                  3.5372398004591474E+000                  0.0000000000000000E+000                  1.7709331114396324E+001                  2.0295816731693801E+000                  7.8366991357971383E+000                  1.3398091396660394E+000                  5.0000000000000011E-001                  4.0588539471397445E+000                  0.0000000000000000E+000                  9.8062055657883074E-001                  2.8652788240319540E-004                  2.0226770999452599E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5662487736164321E+000                  7.1350183924260753E+000                                        0                                        5 
                                     335                                     1306                  1.0802321999581905E+007                  3.0195285379690202E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1309574307506858E-001                  2.1280830878780035E-001                  4.5964147665765503E-001                  4.5255487051461701E-001                  4.1309574307506858E-001                  2.1280830878780035E-001                  4.5964147665765503E-001                  4.5255487051461701E-001                  4.6982923071214211E+000                 -9.5890140576385203E+000                 -7.9091964335726157E+000                  4.6982923071215303E+000                  1.0740706721420077E+000                  4.6981891226681141E+000                 -9.5890140576385203E+000                  3.2840510880365250E+033                  3.8501269343630014E+033                  8.5218769675914140E+033                  1.0499924866265120E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009144E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3790224507101403E+000                  4.6682169306032142E+000                  1.0987167247458236E+000                  3.4167254368671669E+000                  0.0000000000000000E+000                  1.8032219964364362E+001                  2.3080066943458895E+000                  7.8919545132528954E+000                  1.3398091396660459E+000                  5.0000000000000000E-001                  4.0588539471398022E+000                  0.0000000000000000E+000                  9.8062055657881597E-001                  2.8652788236469131E-004                  2.0226771004777650E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5634206755178059E+000                  7.1378513218534430E+000                                        0                                        5 
                                     340                                     1365                  1.0807215479769068E+007                  2.9734419322752141E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1011487857571349E-001                  2.1047122691111492E-001                  4.5751109267260964E-001                  4.5252320602534379E-001                  4.1011487857571349E-001                  2.1047122691111492E-001                  4.5751109267260964E-001                  4.5252320602534379E-001                  4.7018113776970845E+000                 -6.7283747694202365E+000                 -6.4644255496995902E+000                  4.7018113777016586E+000                  6.7971903944402001E-001                  4.7017701002706946E+000                 -6.7283747694202365E+000                  3.8549372856611564E+033                  4.2650803359844579E+033                  8.0433149850528222E+033                  9.7310513777580314E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009170E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3515429977315518E+000                  4.6776161652289554E+000                  1.1583752480158716E+000                  3.2974083903270710E+000                  0.0000000000000000E+000                  1.8296624166647202E+001                  2.5245281938641035E+000                  7.9444027419661953E+000                  1.3398091396665364E+000                  4.9999999999999994E-001                  4.0588539471443026E+000                  0.0000000000000000E+000                  9.8062055657736169E-001                  2.8652788243262888E-004                  2.0226771140378837E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5609463205417242E+000                  7.1403320204753111E+000                                        0                                        5 
                                     345                                     1330                  1.0811726663485408E+007                  2.9450789379419655E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1160531082539165E-001                  2.0976350713341277E-001                  4.6105402597240791E-001                  4.5252243945316933E-001                  4.1160531082539165E-001                  2.0976350713341277E-001                  4.6105402597240791E-001                  4.5252243945316933E-001                  4.7040518992586531E+000                 -4.0582225489146655E+000                 -4.6335716972239931E+000                  4.7040519002090280E+000                  5.1108472190481702E-001                  4.7040240488828946E+000                 -4.0582225489146655E+000                  4.3250832802599071E+033                  4.6084860397432531E+033                  7.6345283785764198E+033                  9.0245210313362744E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526087346978E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3234107339362042E+000                  4.6826167206510227E+000                  1.2171400533175998E+000                  3.1798787797236145E+000                  0.0000000000000000E+000                  1.8533286980166338E+001                  2.7118957817901133E+000                  7.9958466601505576E+000                  1.3398091398194500E+000                  4.9999999999999994E-001                  4.0588539485476574E+000                  0.0000000000000000E+000                  9.8062055608290999E-001                  2.8652832233514401E-004                  2.0226773972146782E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5586514154932027E+000                  7.1426311683004178E+000                                        0                                        5 
